,מספר זיהוי,שם מעיין,שם מעיין באנגלית,תחילת תצפית,X נ.צ נביעה,Y נ.צ נביעה,רום הנביעה,מקום מדידה,שם אקויפר,קוד אקויפר,שם תא דיווח,קוד תא דיווח
18,8250,עדעד,AD'AD,1950,221300,724250,58,נמדד באופן סדיר,ניאוגן - מילוי,200,עמק יזרעאל,380
19,8270,מדרך,MIDRAKH,1946,215510,723030,100,נמדד באופן סדיר,איאוקן,300,משמר העמק,161
20,8275,שלו,SHELAV,0,215750,722660,110,מעיין סקר,איאוקן,300,משמר העמק,161
21,8298,ביר רבה,BIR RABA,0,215480,723840,68,לא נמדד,איאוקן,300,משמר העמק,161
22,8303,תורים,TORIM,1949,215100,724060,68,לא נמדד,איאוקן,300,משמר העמק,161
23,8305,תימרת,TIMRAT,1957,222450,733880,0,לא נמדד,איאוקן,300,אלונים,371
24,8309,שולמית (מנשה),SHULAMMIT (MENASHE),1956,211630,722000,220,לא נמדד,איאוקן,300,משמר העמק,161
25,8320,שכר,SHEKHAR,1955,211100,723150,176,נמדד באופן סדיר,איאוקן,300,משמר העמק,161
26,8340,שני,SHANI,1946,217580,731730,58,נמדד באופן סדיר,ניאוגן - מילוי,200,עמק יזרעאל,380
27,8345,סייפן,SEYFAN,1946,218670,731600,68,נמדד באופן סדיר,ניאוגן - מילוי,200,עמק יזרעאל,380
28,8350,חשרת,HASHRAT,0,211000,727330,90,מעיין סקר,איאוקן,300,משמר העמק,161
29,8355,זריק,ZARIQ,1955,212120,726760,64,לא נמדד,איאוקן,300,משמר העמק,161
30,8360,לבנה,LEVANA,1959,211000,729570,50,נמדד באופן סדיר,איאוקן,300,משמר העמק,161
,8370,יקנעם,YOKNE'AM,0,210840,729900,50,מעיין סקר,איאוקן,300,משמר העמק,161
,8375,ביר טבעון,BIR TIV'ON,1949,213700,735400,98,מעיין סקר,איאוקן,300,שפרעם,370
,8385,חרושת צפונית,HAROSHET NORTH,1949,209990,736360,20,נמדד באופן סדיר,איאוקן,300,שפרעם,370
,8386,חרושת דרומית,HAROSHET SOUTH,1949,209800,736100,20,נמדד באופן סדיר,איאוקן,300,שפרעם,370
,8420,ציפורי (קסטל),ZIPPORI,1945,225800,737600,222,נמדד באופן סדיר,איאוקן,300,אלונים,371
,8425,נטוף,NATUF,0,235400,749410,245,מעיין סקר,קנומן תחתון,500,נטופה חיטין,591
,8426,ציפורי (שוחה),ZIPPORI (shoocha),2002,225802,737572,222,נמדד באופן סדיר,איאוקן,300,אלונים,371
,8435,יפתחאל (חלדיה),YIFTAH'EL,1949,220800,739300,130,לא נמדד,איאוקן,300,אלונים,371
,8436,יפתחאל בכניסה לציפור,YEFTAH'El at Zippori,2001,220700,739300,125,נמדד באופן סדיר,איאוקן,300,אלונים,371
,8445,יבקע,YIVQA',1946,216640,740230,90,נמדד באופן סדיר,איאוקן,300,אלונים,371
,8610,עינות קיני מעטה,KENI UPPER,0,213400,718120,281,מעיין סקר,איאוקן,300,מנשה,160
,8620,ידידיה,YEDIDIA,0,219560,720930,79,מעיין סקר,ניאוגן - מילוי,200,עמק יזרעאל,380
,8625,מוצב,MUZAV,0,218350,722450,100,מעיין סקר,איאוקן,300,משמר העמק,161
,8630,איכסל 1 (אכסל),IKSAL 1 (EKSAL),0,231630,729380,110,מעיין סקר,ניאוגן - מילוי,200,עמק יזרעאל,380
,8632,עינות איכסל,IKSAL,0,230980,729400,100,מעיין סקר,ניאוגן - מילוי,200,עמק יזרעאל,380
,8635,דרך הנפט 2,DEREKH HANEFT 2,0,229790,728260,98,מעיין סקר,ניאוגן - מילוי,200,עמק יזרעאל,380
,8640,כפר כנא,KEFAR KANA,0,231900,738760,232,מעיין סקר,קנומן - טורון,400,נצרת,610
,8645,פחרים מזרחית,PEHARIM EAST,0,217250,724200,75,מעיין סקר,איאוקן,300,משמר העמק,161
,8655,גחר,GAHAR,0,211320,724550,153,מעיין סקר,איאוקן,300,מנשה,160
,8660,תל שור,TEL SHOR,0,216100,728800,40,מעיין סקר,איאוקן,300,משמר העמק,161
,8668,רעף,RA'AF,0,210360,732160,30,מעיין סקר,איאוקן,300,משמר העמק,161
,8670,יודן יצחקיה,YODAN YIZHAKYA,0,212040,732540,40,מעיין סקר,איאוקן,300,משמר העמק,161
,8677,דיר אל עביד,DIR EL ABID,0,216900,735860,100,מעיין סקר,איאוקן,300,שפרעם,370
,8680,חביריה,HAVIRYA,0,217670,736880,130,מעיין סקר,ניאוגן - מילוי,200,עמק יזרעאל,380
,8685,עפר,AFAR,0,209850,735430,10,מעיין סקר,איאוקן,300,אלונים,371
,8687,אום חמיד,UM HAMID,0,219550,741170,158,מעיין סקר,איאוקן,300,אלונים,371
,12610,דמומית,DEMUMIT,0,207630,723030,190,מעיין סקר,איאוקן,300,מנשה,160
,12612,עינות שלף,SHELEF,0,207740,723300,208,מעיין סקר,איאוקן,300,מנשה,160
,12620,מחוללים,MEHOLELIM,0,205970,721990,140,מעיין סקר,איאוקן,300,מנשה,160
,12630,יואח,YO'AH,0,205700,725450,190,מעיין סקר,איאוקן,300,מנשה,160
,12635,אליקים,ELYAQIM,0,206500,726000,219,מעיין סקר,איאוקן,300,מנשה,160
,13220,כפר,KEFAR,1954,210980,719550,225,נמדד באופן סדיר,איאוקן,300,מנשה,160
,14225,שרקיה (ג'בע),SHARQIA (JABA),1960,221600,692200,370,לא נמדד,איאוקן,300,ג'נין,640
,14227,ג'בע,JABA,1960,220920,692300,390,לא נמדד,איאוקן,300,ג'נין,640
,14230,פנדקומיה,FUNDOQUOMIA,1960,219450,691850,460,לא נמדד,איאוקן,300,ג'נין,640
,14232,הווס,HAWAAS,1959,219200,692050,410,לא נמדד,איאוקן,300,ג'נין,640
,14234,חאבד,HAWD,1960,218250,691250,475,לא נמדד,איאוקן,300,ג'נין,640
,14236,זכריה,ZAKHARIYA,0,217830,691050,460,לא נמדד,איאוקן,300,פריעה עליון,642
,14250,ארובות,ARUBBOT,1931,202330,709820,70,נמדד באופן סדיר,איאוקן,300,מנשה,160
,14260,ברטעה,BARTA'A,1969,209880,709350,215,לא נמדד,קנומן - טורון,400,תנינים,210
,15225,צור,ZUR,1960,222200,678650,630,לא נמדד,איאוקן,300,פריעה עליון,642
,15240,ראס אל עין,RAS EL EIN,1939,224310,680210,620,לא נמדד,איאוקן,300,פריעה עליון,642
,15241,אסל,ASAL,1939,224450,680400,575,לא נמדד,איאוקן,300,פריעה עליון,642
,15242,קריון,QARIOUN,1940,224680,680600,550,לא נמדד,איאוקן,300,פריעה עליון,642
,15243,שריש,SHARISH,1964,224700,680920,510,לא נמדד,איאוקן,300,פריעה עליון,642
,15244,פואד,FOAD,1964,224800,681040,510,לא נמדד,איאוקן,300,פריעה עליון,642
,15245,כופייר,KFEIR,1963,224800,681200,540,לא נמדד,איאוקן,300,פריעה עליון,642
,15248,בית אלמא,BET ELMA,1945,223500,681840,458,לא נמדד,איאוקן,300,פריעה עליון,642
,15250,שייח נפע,SIAH NAFA,1960,222600,680850,560,לא נמדד,איאוקן,300,פריעה עליון,642
,15255,זוותא,ZAWATA,1963,221650,683940,410,לא נמדד,איאוקן,300,פריעה עליון,642
,15257,איג'ניסיניא,IJENISINYA,1960,220550,686550,435,לא נמדד,איאוקן,300,פריעה עליון,642
,15258,הרון,HARUN,1963,219500,685780,445,לא נמדד,איאוקן,300,פריעה עליון,642
,15262,א-שרקיה,SHARQIA,1960,221100,687800,380,לא נמדד,איאוקן,300,פריעה עליון,642
,15274,חדר,HADAR,0,220850,687750,390,לא נמדד,איאוקן,300,פריעה עליון,642
,15275,מוויזיה,MUWEIZA,1974,220750,687950,365,לא נמדד,איאוקן,300,פריעה עליון,642
,15278,אל-בלד,EL-BALAD,1960,220700,688800,410,לא נמדד,איאוקן,300,פריעה עליון,642
,15290,בורקה,BURQA,1964,218700,689700,465,לא נמדד,איאוקן,300,פריעה עליון,642
,17205,עוורתא,AWARTA,0,227250,674550,520,לא נמדד,קנומן - טורון,400,שומרון,654
,17210,חוורה,HUWARA,1961,224280,673180,550,לא נמדד,קנומן - טורון,400,שומרון,654
,17218,שרקיה (בורין),SHARQIA (BURIN),1960,224100,676650,580,לא נמדד,איאוקן,300,פריעה עליון,642
,17220,בורין,BURIN,1960,223800,676650,575,לא נמדד,איאוקן,300,פריעה עליון,642
,17222,שערה,SHE'ARA,1962,222350,675700,615,לא נמדד,איאוקן,300,פריעה עליון,642
,17240,סילון,SILON,0,228270,663200,695,לא נמדד,קנומן - טורון,400,שומרון,654
,17243,מעיריבה,ME'IRIBA,1963,224400,660100,790,לא נמדד,קנומן - טורון,400,שומרון,654
,17245,עבווין,IBWEIN,1960,219100,660300,570,לא נמדד,קנומן תחתון,500,ירקון,211
,17246,סופלה,SUFLA,1960,219050,660270,550,לא נמדד,קנומן תחתון,500,ירקון,211
,17250,ג'לוד,JALUD,1970,229850,664650,790,לא נמדד,קנומן - טורון,400,שומרון,654
,17252,עינה,INA,1961,229250,665170,800,לא נמדד,קנומן - טורון,400,נערן,664
,17254,תלפית,TALFIT,1960,228380,665700,640,לא נמדד,קנומן - טורון,400,נערן,664
,17258,א-שער,SA'AR,1961,220700,665100,500,לא נמדד,קנומן תחתון,500,שומרון,654
,17260,מערת איילון,Ayalon Cave,2006,193327,646470,116,לא נמדד,קנומן - טורון,400,ירקון,211
,17270,אל מע'רה,EL MA'ARA,1960,221550,651050,750,נמדד באופן סדיר,קנומן תחתון,500,מצפה יריחו,662
,17272,דורא,DURA,1960,221600,651050,760,נמדד באופן סדיר,קנומן תחתון,500,מעלה אפרים,661
,17274,דאראג,DAR'AG,1962,221600,651150,740,נמדד באופן סדיר,קנומן תחתון,500,מצפה יריחו,662
,17276,גורה (דורת אל קרע),GURA (DURAT AL QARI),1960,221600,651200,750,נמדד באופן סדיר,קנומן תחתון,500,מעלה אפרים,661
,17280,מגור,MAGOR,1960,218150,650550,730,נמדד באופן סדיר,קנומן תחתון,500,מעלה אפרים,661
,17283,ג'יפנה,JIFNA,0,220550,652200,645,לא נמדד,קנומן תחתון,500,מעלה אפרים,661
,17285,שייח חוסיין (סיניא),SHEIKH HUSSEIN (SINY,1960,221850,653300,640,לא נמדד,קנומן תחתון,500,מצפה יריחו,662
,17286,סיניא,SINYA,1960,221950,653250,630,נמדד באופן סדיר,קנומן תחתון,500,מצפה יריחו,662
,17290,חמם,HAMMAM,1947,219100,653270,730,לא נמדד,קנומן תחתון,500,מעלה אפרים,661
,17292,פליפלה,FLEIFLEH,1959,219100,653500,745,נמדד באופן סדיר,קנומן תחתון,500,מעלה אפרים,661
,17295,עג'ול,AJUL,1962,216900,658900,430,לא נמדד,קנומן תחתון,500,ירקון,211
,17298,ערורה,ARURA,1962,216800,661300,525,לא נמדד,קנומן תחתון,500,ירקון,211
,17305,עינות הירקון-אגם במת,Yarqon-Lake Building,2019,192849,668416,18,לא נמדד,קנומן - טורון,400,ירקון,211
,17318,שמיא,SHAMIE,1968,216760,665840,470,נמדד באופן סדיר,קנומן תחתון,500,ירקון,211
,17320,מטווי,MATWI,1961,212400,665500,375,נמדד באופן סדיר,קנומן תחתון,500,ירקון,211
,17325,קאוס,QUOS,1960,211680,657420,500,נמדד באופן סדיר,קנומן תחתון,500,ירקון,211
,17330,דילבה וקיטן,DILBA AND QITAN,1962,206850,659150,290,נמדד באופן סדיר,קנומן - טורון,400,ירקון,211
,17360,עמאוס,AMEUS,0,199784,638970,218,מעיין סקר,ניאוגן - מילוי,200,ירקון,211
,17375,ורד,VERED,0,193650,641000,140,מעיין סקר,איאוקן,300,לכיש,170
,17430,עריק עליון,AREEK UPPER,1962,213630,645880,535,לא נמדד,קרטיקון תחתון,600,ירקון,211
,17432,עריק תחתון,AREEK LOWER,1963,213330,646120,515,לא נמדד,קרטיקון תחתון,600,ירקון,211
,17438,ג'ריאות,JARYOUT,1996,212360,644250,560,לא נמדד,קרטיקון תחתון,600,ירקון,211
,17450,דילב,DILB,1963,215370,648700,500,נמדד באופן סדיר,קרטיקון תחתון,600,ירקון,211
,17453,חרשה,HARASHE,1968,214700,649900,670,לא נמדד,קרטיקון תחתון,600,ירקון,211
,17460,רוממן,ROMEMAN,1960,214400,647800,525,נמדד באופן סדיר,קרטיקון תחתון,600,ירקון,211
,17462,ג'נאין,JENIN,1957,214150,647600,560,נמדד באופן סדיר,קרטיקון תחתון,600,ירקון,211
,17480,כפירה,,2011,208700,637450,515,לא נמדד,קנומן תחתון,500,עין כרם,212
,17485,נטף,,2011,205795,638200,355,לא נמדד,קנומן תחתון,500,עין כרם,212
,17490,עלקת,,2011,205000,635500,430,לא נמדד,קנומן תחתון,500,ירקון,211
,17495,חילה,Hila,0,199764,636191,235,לא נמדד,איאוקן,300,לכיש,170
,17500,זבוד,,2011,207790,635490,580,לא נמדד,קנומן תחתון,500,עין כרם,212
,17610,ביר בירה (לטרון),BIR BIRA (LATRUN),0,202527,638916,239,מעיין סקר,איאוקן,300,לכיש,170
,18201,רמת שלמה,,2011,220190,635590,665,לא נמדד,קנומן - טורון,400,מצפה יריחו,662
,18202,עינות תלתן,,2011,217950,637900,815,נמדד באופן סדיר,קנומן - טורון,400,מצפה יריחו,662
,18203,חנה,,2011,217500,637900,875,לא נמדד,קנומן - טורון,400,מצפה יריחו,662
,18205,מי נפתוח (ליפתא),MEI NEFTOAH (LIFTA),1951,218724,633485,683,נמדד באופן סדיר,קנומן - טורון,400,עין כרם,212
,18208,בית סוריק,BET SORIK,0,214660,637000,760,לא נמדד,קנומן תחתון,500,עין כרם,212
,18209,לוזה,,2011,215900,635900,610,נמדד באופן סדיר,קנומן תחתון,500,מצפה יריחו,662
,18210,צובא,ZOVA,1959,212351,632284,667,לא נמדד,קנומן - טורון,400,עין כרם,212
